origin,horizon_months,actual,flow,persistence,ar1,ar4,lo50,hi50,cover50,score50,lo80,hi80,cover80,score80,lo90,hi90,cover90,score90
2017-01-01,1,2.173347618777037,2.3510651781755296,1.9853709032398594,1.9736531243400854,2.110402773746434,2.236118319647318,2.393957148811024,False,0.40892163264483106,2.149300630529105,2.503914806705575,True,0.35461417617647006,2.1040453434524204,2.561993153785265,True,0.4579478103328447
2017-01-01,3,1.7520350243468807,2.1428478225751544,1.9853709032398594,1.9521363303578951,2.1216293827040658,1.7937424625811957,2.217108028797257,False,0.5901953191533214,1.5935248553289638,2.407863467668515,True,0.8143386123395511,1.471023256203917,2.4954749133668606,True,1.0244516571629436
2017-01-01,6,1.4747043604645231,2.2513706578748827,1.9853709032398594,1.9241439906002977,2.0457812976280603,1.6553984700597129,2.2041301630348604,False,1.2715081313559065,1.305591177149735,2.566713106973814,True,1.2611219298240788,1.0202209353534775,2.6819653927329146,True,1.661744457379437
2017-01-01,12,1.7423814828018716,2.09659334095174,1.9853709032398594,1.8807089173010627,1.94337977308993,0.9576071045751715,1.90135453848466,True,0.9437474339094885,0.33055135762995014,2.498424518550156,True,2.167873160920206,0.17450243622536665,2.6935865920869024,True,2.5190841558615356
2017-02-01,1,1.8884176442994696,2.0741179512925334,2.173347618777037,2.1518271990729247,2.219974105287283,1.9518653092118816,2.1165437581571522,False,0.4184691085949188,1.8746119375532846,2.225433026835591,True,0.35082108928230626,1.8273369851944634,2.2842369481089855,True,0.45689996291452206
2017-02-01,3,1.5457633326932012,1.8525014924311203,2.173347618777037,2.112307078598489,2.1785377485321455,1.4797027889593644,1.9251008730931745,True,0.4453980841338101,1.30512839279953,2.1095853787175725,True,0.8044569859180424,1.1820364352614112,2.2034699373118594,True,1.0214335020504481
2017-02-01,6,1.5596822066068714,1.9719590387152621,2.173347618777037,2.060886297839804,2.0821521378385994,1.3730803952109616,1.9224815079835254,True,0.5494011127725638,1.037257682248246,2.2836454665316195,True,1.2463877842833735,0.7420757939736189,2.399254530915006,True,1.6571787369413873
2017-02-01,12,1.8209277174667655,1.7844970550564898,2.173347618777037,1.9810787849159548,1.9620341154612273,0.6479573788994628,1.587899024982534,False,1.8720564160199973,0.020538322752207128,2.1826671564151927,True,2.162128833662986,-0.13477942330461068,2.3744795258424176,True,2.5092589491470285
2017-03-01,1,1.7520350243468807,1.5968619790802498,1.8884176442994696,1.8818958754440611,1.7607628776111486,1.4732471790225996,1.6389575564778118,False,0.6180202489314879,1.399614499248177,1.7466425016363187,False,0.4009532294937619,1.350319881607219,1.8061719971034187,True,0.45585211549619964
2017-03-01,3,1.4549125591740624,1.4984946523421117,1.8884176442994696,1.869923896567633,1.7164953683875126,1.1335937300296215,1.5677565696530378,True,0.4341628396234163,0.9530714203251216,1.7476467798216546,True,0.794575359496533,0.8293891043739309,1.847804451311884,True,1.018415346937953
2017-03-01,6,1.742179838126192,1.6297864302702358,1.8884176442994696,1.8543567848673235,1.7470915501122757,1.0318766053289787,1.5787192620612742,False,1.2006849609919663,0.7061631980613512,1.9378168368040192,True,1.231653638742668,0.40116966330835435,2.0537826798116923,True,1.652613016503338
2017-03-01,12,1.9785882627263311,1.6671866325380855,1.8884176442994696,1.8302232006183219,1.7930121901016713,0.5433191138096234,1.4746662852847563,False,2.9470350812414323,-0.0946888487486901,2.061695657657075,True,2.156384506405765,-0.249275419457742,2.2501583229747792,True,2.4994337424325215
2017-04-01,1,1.5457633326932012,1.789338147329598,1.7520350243468807,1.7527101118956157,1.7083465019579476,1.6661773999309473,1.8326962817359675,False,0.6481751507560045,1.5943492014047007,1.9454232894859806,False,0.8369327751962751,1.5430349184816061,1.9978391865594836,True,0.45480426807787744
2017-04-01,3,1.4747043604645231,1.895551313555188,1.7520350243468807,1.7539493898387502,1.7137359907366696,1.5385481724019636,1.9614757675149863,False,0.6783028428627846,1.352077949152798,2.1367716822278227,True,0.7846937330750245,1.2278052747885355,2.243202466613994,True,1.0153971918254583
2017-04-01,6,1.6680510525820782,1.8300014801439732,1.7520350243468807,1.755560867505954,1.7491198285254541,1.2330604737657598,1.7849980211956655,True,0.5519375474299058,0.9174563721932202,2.1343758653951825,True,1.2169194932019622,0.6026511909618535,2.2506984870271416,True,1.648047296065288
2017-04-01,12,2.025966232628674,1.923244519954092,1.7520350243468807,1.7580592668527069,1.7938088453646701,0.8120491586541949,1.7403321530667628,False,2.0708193126602126,0.16345228968482362,2.3140924688333686,True,2.150640179148545,0.009596894323537386,2.499205430041551,True,2.4896085357180135
2017-05-01,1,1.4549125591740624,1.3866133475940507,1.5457633326932012,1.5572484756489553,1.4858112627517004,1.2604342273607638,1.429505318229545,False,0.27070005464685076,1.1707508633847188,1.5424704655279955,True,0.3717196021432767,1.140333476082465,1.594305408030653,True,0.45397193194818786
2017-05-01,3,1.5596822066068714,1.545865585280691,1.5457633326932012,1.5783360497868986,1.517848593898388,1.172238212286707,1.6084525758893613,True,0.4362143636026543,1.0043420884929013,1.7791541951464165,True,0.7748121066535152,0.8794790557155668,1.8918580924285293,True,1.0123790367129626
2017-05-01,6,1.7778156936511498,1.5869604480932185,1.5457633326932012,1.6057655684028056,1.6090679987502843,0.9909882602780485,1.5397199532531962,False,1.5011146545669618,0.6854934644005969,1.8876788120618537,True,1.2021853476612567,0.3608766366908607,2.004358212318098,True,1.6434815756272374
2017-05-01,12,2.2409095512439534,1.698384497180347,1.5457633326932012,1.6483152025088137,1.7220351368374343,0.5998612933090148,1.5260153621419468,False,3.7857308252409583,-0.059324482071414275,2.08557136981991,False,3.698277666131758,-0.2124487020849346,2.26733462691857,True,2.4797833290035047
2017-06-01,1,1.4747043604645231,1.6192714004427133,1.4549125591740624,1.471071705322023,1.4486256479352524,1.4952025477260635,1.6635618623908337,False,0.25035206371093177,1.4058496945138415,1.7749004941542201,True,0.3690507996403787,1.373199610229219,1.826154482086032,True,0.45295487185681305
2017-06-01,3,1.742179838126192,1.5838625311092596,1.4549125591740624,1.5007473538112195,1.510244472290966,1.2110638276375036,1.643112058366802,False,0.8283193497668582,1.0442889019360702,1.8092193821680767,True,0.7649304802320065,0.9188355107456636,1.9281963923461312,True,1.0093608816004676
2017-06-01,6,1.750990246521117,1.707498319667629,1.4549125591740624,1.5393613221140956,1.6052854558820628,1.1124949504155026,1.6669689325027504,False,0.8905592381607139,0.817109460233139,2.0045606623536902,True,1.1874512021205512,0.48268098604503296,2.1215968412342208,True,1.6389158551891878
2017-06-01,12,2.242964269065925,1.9108151860220959,1.4549125591740624,1.5992978504458382,1.7195615117309755,0.8249641395793286,1.7453294882531103,False,2.91090447192504,0.15518945778784188,2.3267710474805914,True,2.1715815896927495,0.002796413122087227,2.498640562957258,True,2.495844149835171
